Summary of Federal Government Finances (=N= Billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total Federally Collected Revenue ,0.634,1.1688,1.4051,1.6953,4.5374,5.5147,6.7659,8.0424,7.371,10.9124,15.2335,13.2905,11.4337,10.5087,11.2533,15.0504,12.5958,25.3806,27.5967,53.8704,98.1024,100.9916,190.4532,192.7694,201.9108,459.9873,523.597,582.8111,463.6088,949.1879,1906.1597,2231.6,1731.8375,2575.0959,3920.5,5547.5,5965.1019,5727.5,7866.590381,4844.592342,7303.67155,11116.9,10654.74719,9759.793815,10068.852,6912.501551,5679.03279
Oil Revenue ,0.1666,0.5101,0.7643,1.016,3.724,4.2715,5.3652,6.0806,4.5558,8.8808,12.3533,8.5644,7.8149,7.253,8.2692,10.9237,8.1073,19.027,19.8317,39.1305,71.8871,82.6664,164.0781,162.1024,160.1924,324.5476,408.783,416.8111,324.3112,724.4225,1591.6758,1707.5628,1230.8512,2074.2806,3354.8,4762.4,5287.5669,4462.91,6530.6,3191.937976,5396.091049,8878.96988,8025.97059,6809.230514,6793.82,3830.096,2693.906699
Non- Oil Revenue ,0.4674,0.6587,0.6408,0.6793,0.8134,1.2432,1.4007,1.9618,2.8152,2.0316,2.8802,4.7261,3.6188,3.2557,2.9841,4.1267,4.4885,6.3536,7.765,14.7399,26.2153,18.3252,26.3751,30.667,41.7184,135.4397,114.814,166,139.2976,224.7654,314.4839,903.4623,500.9863,500.8153,565.7,785.1,677.535,1264.6,1336,1652.654366,1907.580501,2237.877078,2628.7766,2950.563302,3275.032,3082.405551,2985.126091
Federation Account ,0.5824,1.0686,1.3258,1.613,4.3711,5.2941,6.4701,7.7031,6.7814,10.5998,14.7465,10.1828,9.8849,9.7986,10.6724,13.7502,11.8683,24.6922,26.7703,46.8603,68.0642,54,77.8,106.7994,110.461,161.9989,179,208,257.3314,576.8014,1262.4683,1427.4324,1606.1197,2011.5856,2657.2,3033.9,3219.0991,3878.5,4552.836481,3600.073482,4784.474111,6158.4,6565.243464,7488.300769,7540.321135,5845.833329,4523.449137
Federal Government Retained Revenue ,0.4488,1.1688,1.4048,1.6953,4.537,5.5147,6.7659,8.0424,5.1781,8.8684,12.9933,7.5116,5.8191,6.272,7.2672,10.0014,7.9694,16.129,15.5886,25.8936,38.1521,30.8292,53.2649,126.0712,90.6226,249.7681,369.267,423.2152,353.7241,662.5853,597.2821,796.9767,716.7542,1023.2412,1253.6,1660.7,1836.605,2333.6596,3193.44,2642.982343,3089.1751,3553.543481,3629.607364,4031.828243,3751.707338,3431.071088,2952.513922
Total Expenditure ,0.9039,0.9972,1.4636,1.5292,2.7406,5.9426,7.8567,8.8238,8,7.4067,14.9685,11.4137,11.9232,9.6365,9.9276,13.0411,16.2237,22.0187,27.7495,41.0283,60.2682,66.5844,92.7974,191.2289,160.8932,248.7681,337.2176,428.2152,487.1134,947.69,701.0509,1017.9965,1018.1781,1225.9883,1426.2,1822.1,1938.0025,2450.8967,3240.8196,3452.9908,4194.576508,4712.061981,4605.3905,5185.318462,4587.385338,4988.864407,5160.736366
Recurrent Expenditure 1/,0.7161,0.8236,1.0123,0.9635,1.5171,2.7349,3.8154,3.8192,2.8,3.1872,4.8052,4.8467,5.506,4.7508,5.8275,7.5764,7.6969,15.6462,19.4094,25.9942,36.2196,38.2435,53.0341,136.7271,89.9749,127.6298,124.2913,158.5635,178.0978,449.6624,461.6,579.3,696.8,984.3,1032.7,1223.7,1290.2019,1589.27,2117.362,2127.9715,3109.378508,3314.513334,3325.1565,3689.06106,3426.897936,3831.947407,4178.593576
Capital Expenditure 2,0.1878,0.1736,0.4513,0.5657,1.2235,3.2077,4.0413,5.0046,5.2,4.2195,10.1633,6.567,6.4172,4.8857,4.1001,5.4647,8.5268,6.3725,8.3401,15.0341,24.0486,28.3409,39.7633,54.5018,70.9183,121.1383,212.9263,269.6517,309.0156,498.0276,239.4509,438.6965,321.3781,241.6883,351.3,519.5,552.3858,759.323,960.8901,1152.7965,883.8745,918.5489,874.834,1108.386402,783.1224021,818.365,634.8035926
Current Surplus(+)/Deticit(-) ,-0.2673,0.3452,0.3925,0.7318,3.0199,2.7798,2.9505,4.2232,2.3781,5.6812,8.1881,2.6649,0.3131,1.5212,1.4397,2.425,0.2725,0.4828,-3.8208,-10.326,1.9325,-7.4143,0.2308,-53.2335,0.6477,122.1383,244.9757,264.6517,175.6263,212.9229,135.6736,217.6476,19.9765,38.9636,220.8,437,546.4031,744.3859,1076.078,515.0108431,-20.203408,239.0301467,304.3508635,342.7671835,324.8094021,-400.8763189,-1226.079654
% ot GDP ,-1.6,5.3,5.4,6.7,16.5,12.9,10.8,12.9,6.6,13.2,12,2.825231255,0.309965548,1.382104549,1.238215333,1.80182731,0.202446713,0.24999197,-1.451150933,-2.701292277,0.588090189,-1.358745622,0.026366822,-4.885242809,0.046274095,4.201006289,6.075333667,6.317400835,4.402268172,4.550400745,2.020884601,3.156509642,0.256248322,0.393035038,1.934963679,2.990921537,2.943253585,3.603497376,4.428973559,2.07713917,-0.037272363,0.375164878,0.419218202,0.42311731,0.360350863,-0.421187073,-1.194027096
