"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9096","9263","9436","9840","9897","10185","10250","10390","10346","10012","9944","9858","9112","8888","9803","9816","","","",
"Afghanistan","AFG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","540685","572933","597509","624374","654209","692342","729667","764175","810657","","959583","1024741","365458","","447351","479150","512809","","651622","622135","622513","627888","","786532","1161444","1312197","","","1046338","875605","749360","773623","2667629","3781015","4430142","4318819","4669110","4718077","4974836","4945632","5279326","5291624","5767543","5986268","6217756","6333695","","6400815",
"Angola","AGO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","434370","485955","516131","576420","","","","","","1420839","1300673","1258858","1178430","1065025","870410","974498","1012303","1031314","1067906","1041126","990155","989444","","","","","","1342116","","","","","","","","","3558605","3930051","4046266","4273006","5026803","","","","","","",
"Albania","ALB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","293723","","284644","280593","272277","269016","267850","267200","270990","272935","274660","272585","271728","275426","278446","284616","281770","279500","288092","295137","301051","303632","299164","292070","283249","274233","263603","252829","240487","237975","222402","210125","199454","236102","224781","215660","206617","198897","195720","188371","179564","",
"Andorra","AND","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","2185","","","","","","","","3453","","","","","","","","","","","","","","","","","","","4108","4142","4264","4085","4332","4427","4492","4474","4367","4263","4130","4068","4065","4164","4248","",
"Arab World","ARB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","22009","26130","30495","34731","40229","52207","60742","67058","72627","80470","88617","103937","115211","126726","137700","152125","165463","180270","197869","215532","228980","231674","238469","251182","262628","260919","259509","262653","270486","273144","280248","285744","248370","254602","262807","272331","284034","","304250","326588","334956","364017","376649","409776","460975","467723","",
"Argentina","ARG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","3385790","3443669","3464437","3485495","3544591","3571180","3600659","3680185","3726748","3819440","3917449","4054374","4197372","","4430513","4589291","4778264","4906907","4998963","","4965396","5043792","","","5180713","","5250329","5153256","4665761","4823808","4900956","4950674","4986758","4885664","4923075","4872889","4928319","4951505","4975520","4961821","4947105","4911776","4871157","4791544","4780105","4784446","","",
"Armenia","ARM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221874","215226","221154","266076","252302","252458","256624","255976","255943","180306","176302","155423","143822","134664","125149","121502","127546","121841","114528","101819","136716","138470","140638","142517","144549","148481","",
"American Samoa","ASM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","8100","7113","7081","6904","7013","7022","6778","6307","","","","6744","6845","7227","7650","7704","7812","8042","8308","8574","8200","7884","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","9668","11852","","11216","10939","11340","10912","10159","9557","","","","","11394","","","","","","","","9298","","","10727","","","","","13025","","","","","","","11569","11562","11276","11254","10855","10453","","10172","10077","","",
"Australia","AUS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1685671","1682318","1672939","1596281","1632716","1638955","1671517","1699306","1711232","1718352","1711037","1690779","1650567","1605258","1542101","1520210","1514575","1529781","1555230","1583024","1605720","1623012","1633797","1639577","1833681","1848169","1855789","1869852","1885341","1905951","1914395","1933765","1931817","1934549","1934941","1938861","1973456","1977837","1991715","2015017","2042081","2083119","2127730","2168531","2140571","2179689","",
"Austria","AUT","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","531934","534895","528541","520761","513027","501843","492723","466933","445103","420935","400397","384986","367691","354479","342779","343823","343013","350734","360542","367006","370210","378676","382663","381628","381363","382005","381927","385309","388777","392407","392339","386484","379920","372963","362822","355293","347249","337448","331565","328015","326351","326955","327187","327246.83333","327816.83333","329031.5","",
"Azerbaijan","AZE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","473298","","","","","487748","","","487053","503598","517889","529264","544073","576197","600315","689756","710389","702068","691259","700136","693760","668902","635652","607007","568097","537653","512317","496697","490242","481551","482773","491479","498237","517708","551118","580980","",
